date,pm1,pm10,pm25,id,sensor_id
2021-09-05 05:40:00+00:00,12.5370369,17.98148346,17.42592621,41407,7194
2021-09-05 05:45:00+00:00,12.76851845,19.22222137,18,41407,7194
2021-09-05 05:50:00+00:00,12.24074173,18.66666794,17.74074173,41407,7194
2021-09-05 05:55:00+00:00,11.89814854,18.12963104,17.21296501,41407,7194
2021-09-05 06:00:00+00:00,12.05555439,18.11111069,17.30555344,41407,7194
2021-09-05 06:05:00+00:00,12.51851749,17.87962914,17.38888741,41407,7194
2021-09-05 06:10:00+00:00,12.00925922,19.07407379,17.5,41407,7194
2021-09-05 06:15:00+00:00,12.60185242,18.9629631,17.93518639,41407,7194
2021-09-05 06:20:00+00:00,12.62036991,18.94444466,17.79629707,41407,7194
2021-09-05 06:25:00+00:00,12.5555563,18.62037086,17.59259415,41407,7194
2021-09-05 06:30:00+00:00,13.47222137,19.73147964,18.75,41407,7194
2021-09-05 06:35:00+00:00,13.58333302,19.30555725,18.64814949,41407,7194
2021-09-05 06:40:00+00:00,12.95370388,18.70370483,17.95370483,41407,7194
2021-09-05 06:45:00+00:00,13.20370293,19.07407379,17.91666603,41407,7194
2021-09-05 06:50:00+00:00,13.12962914,19.7870369,18.67592621,41407,7194
2021-09-05 06:55:00+00:00,12.42592525,18.85185242,17.9629631,41407,7194
2021-09-05 07:00:00+00:00,13.57407379,20,18.99074173,41407,7194
2021-09-05 07:05:00+00:00,13.33333397,18.54629517,17.77777672,41407,7194
2021-09-05 07:10:00+00:00,12.54629707,18.52777863,17.26851654,41407,7194
2021-09-05 07:15:00+00:00,12.75925827,18.15740585,17.31481552,41407,7194
2021-09-05 07:20:00+00:00,12.98148155,18.86111069,18.12963104,41407,7194
2021-09-05 07:25:00+00:00,12.81481552,18.93518639,17.69444466,41407,7194
2021-09-05 07:30:00+00:00,13.29629707,20.17592621,18.7870369,41407,7194
2021-09-05 07:35:00+00:00,13.56481457,19.69444656,18.89814949,41407,7194
2021-09-05 07:40:00+00:00,12.47222233,18.11111069,17.47222137,41407,7194
2021-09-05 07:45:00+00:00,14.19444561,21.05555344,20.08333397,41407,7194
2021-09-05 07:50:00+00:00,13.72222233,20.50925827,19.12962914,41407,7194
