Time,7160,7205,7250
2021-09-17 3:05:00,110,,99.5
2021-09-17 3:10:00,110,,96.7
2021-09-17 3:15:00,117,,104
2021-09-17 3:20:00,111,,98.1
2021-09-17 3:25:00,112,,99.7
2021-09-17 3:30:00,113,,99.4
2021-09-17 3:35:00,112,,98.5
2021-09-17 3:40:00,106,,94.3
2021-09-17 3:45:00,107,,93.6
2021-09-17 3:50:00,106,,94.6
2021-09-17 3:55:00,104,,93.6
2021-09-17 4:00:00,116,,104
2021-09-17 4:05:00,129,,116
2021-09-17 4:10:00,126,,113
2021-09-17 4:15:00,119,,106
2021-09-17 4:20:00,113,,100
2021-09-17 4:25:00,111,,97.9
2021-09-17 4:30:00,110,,97
2021-09-17 4:35:00,105,,93.3
2021-09-17 4:40:00,117,,104
2021-09-17 4:45:00,122,,109
2021-09-17 4:50:00,121,,107
2021-09-17 4:55:00,109,,96.8
2021-09-17 5:00:00,96.4,,84.8
2021-09-17 5:05:00,91.3,,81
2021-09-17 5:10:00,86.6,,75.8
2021-09-17 5:15:00,86.8,,77
2021-09-17 5:20:00,83.6,,74
2021-09-17 5:25:00,86.1,,78.1
2021-09-17 5:30:00,83.8,,73.9
2021-09-17 5:35:00,81.9,,75.3
2021-09-17 5:40:00,89,,82.6
2021-09-17 5:45:00,66.9,,61.5
2021-09-17 5:50:00,71.4,,67.2
2021-09-17 5:55:00,65,,59.2
2021-09-17 6:00:00,60.2,,56.1
2021-09-17 6:05:00,55.8,,51.8
2021-09-17 6:10:00,53.8,,50.9
2021-09-17 6:15:00,56.8,,53
2021-09-17 6:20:00,52.7,,48.1
2021-09-17 6:25:00,46.2,,41.7
2021-09-17 6:30:00,49.8,,42.8
2021-09-17 6:35:00,50.1,,43.1
2021-09-17 6:40:00,46.6,,40
2021-09-17 6:45:00,48.2,,41.1
2021-09-17 6:50:00,43.5,,35.3
2021-09-17 6:55:00,44.1,,36.5
2021-09-17 7:00:00,36.7,,31.2
2021-09-17 7:05:00,33.8,,27.9
2021-09-17 7:10:00,31.3,,27.8
2021-09-17 7:15:00,30.2,,24.9
2021-09-17 7:20:00,27.7,,23.6
2021-09-17 7:25:00,30.4,,27.9
2021-09-17 7:30:00,26,,22.5
2021-09-17 7:35:00,31.8,,27.9
2021-09-17 7:40:00,33.7,,30.6
2021-09-17 7:45:00,36.8,,32.3
2021-09-17 7:50:00,38,,33.8
2021-09-17 7:55:00,39.6,,34
2021-09-17 8:00:00,39.8,,34.7
2021-09-17 8:05:00,40.1,,35.6
2021-09-17 8:10:00,40.4,,36.1
2021-09-17 8:15:00,39.9,,35.9
2021-09-17 8:20:00,39.9,,34.8
2021-09-17 8:25:00,38.5,,32.9
2021-09-17 8:30:00,36.2,,30.9
2021-09-17 8:35:00,33.8,,28.3
2021-09-17 8:40:00,34.8,,29.5
2021-09-17 8:45:00,32.6,,28.3
2021-09-17 8:50:00,30.3,,24.9
2021-09-17 8:55:00,32.4,,27.1
2021-09-17 9:00:00,34.4,,26.9
2021-09-17 9:05:00,31.6,,26.6
2021-09-17 9:10:00,28.7,,24.3
2021-09-17 9:15:00,31.5,,26.9
2021-09-17 9:20:00,32.5,,27.7
2021-09-17 9:25:00,32.7,,28.4
2021-09-17 9:30:00,29.3,,25.2
2021-09-17 9:35:00,32.3,,28.6
2021-09-17 9:40:00,29.7,,26.7
2021-09-17 9:45:00,26.9,,23.7
2021-09-17 9:50:00,26.2,,22.2
2021-09-17 9:55:00,23.3,,20.2
2021-09-17 10:00:00,23.2,,19.9
2021-09-17 10:05:00,24.6,,21.6
2021-09-17 10:10:00,24,,19.4
2021-09-17 10:15:00,24.7,,19.9
2021-09-17 10:20:00,22.8,,19.3
2021-09-17 10:25:00,155,,147
2021-09-17 10:30:00,164,,157
2021-09-17 10:35:00,160,,153
2021-09-17 10:40:00,161,,153
2021-09-17 10:45:00,159,,150
2021-09-17 10:50:00,157,,149
2021-09-17 10:55:00,159,,151
2021-09-17 11:00:00,159,,152
2021-09-17 11:05:00,163,,155
2021-09-17 11:10:00,164,,156
2021-09-17 11:15:00,166,,159
2021-09-17 11:20:00,170,,166
2021-09-17 11:25:00,169,,164
2021-09-17 11:30:00,175,,172
2021-09-17 11:35:00,171,,168
2021-09-17 11:40:00,180,,176
2021-09-17 11:45:00,175,,172
2021-09-17 11:50:00,176,,171
2021-09-17 11:55:00,178,,174
2021-09-17 12:00:00,179,,175
2021-09-17 12:05:00,179,,176
2021-09-17 12:10:00,181,,176
2021-09-17 12:15:00,179,,176
2021-09-17 12:20:00,184,,179
2021-09-17 12:25:00,179,,177
2021-09-17 12:30:00,182,,177
2021-09-17 12:35:00,174,,169
2021-09-17 12:40:00,174,,168
2021-09-17 12:45:00,179,,174
2021-09-17 12:50:00,179,,173
2021-09-17 12:55:00,179,,174
2021-09-17 13:00:00,182,,175
2021-09-17 13:05:00,185,,182
2021-09-17 13:10:00,183,,177
2021-09-17 13:15:00,183,,180
2021-09-17 13:20:00,188,,184
2021-09-17 13:25:00,190,,187
2021-09-17 13:30:00,193,,192
2021-09-17 13:35:00,193,,191
2021-09-17 13:40:00,203,,202
2021-09-17 13:45:00,228,,234
2021-09-17 13:50:00,202,,201
2021-09-17 13:55:00,201,,200
2021-09-17 14:00:00,204,,205
2021-09-17 14:05:00,203,,205
2021-09-17 14:10:00,204,,205
2021-09-17 14:15:00,208,,210
2021-09-17 14:20:00,211,,213
2021-09-17 14:25:00,220,,224
2021-09-17 14:30:00,238,,242
2021-09-17 14:35:00,238,,241
2021-09-17 14:40:00,242,,246
2021-09-17 14:45:00,244,,248
2021-09-17 14:50:00,239,,244
2021-09-17 14:55:00,241,,246
2021-09-17 15:00:00,240,,246
2021-09-17 15:05:00,246,,253
2021-09-17 15:10:00,246,,253
2021-09-17 15:15:00,239,,243
2021-09-17 15:20:00,237,,243
2021-09-17 15:25:00,227,,227
2021-09-17 15:30:00,215,,214
2021-09-17 15:35:00,210,,209
2021-09-17 15:40:00,206,,206
2021-09-17 15:45:00,207,,211
2021-09-17 15:50:00,197,,198
2021-09-17 15:55:00,200,,199
2021-09-17 16:00:00,210,,213
2021-09-17 16:05:00,212,,215
2021-09-17 16:10:00,212,,210
2021-09-17 16:15:00,218,,221
2021-09-17 16:20:00,207,,208
2021-09-17 16:25:00,201,,198
2021-09-17 16:30:00,205,,204
